case_id,tADS,PL,v0,t_press,t_depress,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,pred_CO2_purity,pred_CO2_recovery,pred_CO2_purity_std,pred_CO2_recovery_std,cycle_time_s,n_CO2_feed_calc,n_N2_feed_calc,n_CO2_product_calc,n_N2_product_calc,co2_product_kg_per_cycle,annual_capture_t_per_bed,vacuum_energy_kwh_per_cycle,blower_energy_kwh_per_cycle,compression_energy_kwh_per_cycle,specific_energy_kwh_per_tco2,energy_cost_per_tco2,capex_proxy_cost_per_tco2,fixed_om_cost_per_tco2,adsorbent_cost_per_tco2,unrecovered_cost_per_tco2,purity_penalty_per_tco2,recovery_penalty_per_tco2,uncertainty_penalty_per_tco2,domain_penalty_per_tco2,total_cost_per_tco2,co2_mol_frac,h2o_ppmv,sox_ppmv,nox_ppmv,dust_mg_Nm3
1,179.95755593295917,0.3430544309162081,0.032,20.088112939642357,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43043786,0.6534031,0.0,0.0,437.0074692122648,0.1863183380948161,0.8487698768649242,0.12174098032246418,0.1610895762411943,0.005357820543991649,0.35309518151967745,0.0003872045799659885,3.286787258231538e-06,0.0023042587937506707,502.9564052862557,55325.20458148813,5664.195108503748,1132.8390217007495,1534.7839832512916,26522.44034888711,44097.715,15202.505,0.0,48.88449461197931,149528.56726500552,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.72440827342899,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163455,0.6514798,0.0,0.0,437.724408273429,0.18636228239041422,0.8489700643222896,0.12141125885760952,0.15987127557402614,0.005343309502323395,0.35156210336524457,0.00037704929174104426,3.287562466685632e-06,0.0022916468480897304,500.0615631820728,55006.77195002801,5688.895307132015,1137.779061426403,1541.4768087122075,26748.352724428514,43873.234,15440.572,0.0,93.18570904030359,149530.26820139244,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.746035420875117,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.4316344,0.65147865,0.0,0.0,437.7460354208751,0.18636228239041422,0.8489700643222896,0.12141104780451432,0.1598710863877892,0.0053433002138766755,0.3515441230934099,0.00037704875523437124,3.287562466685632e-06,0.0022916435872857637,500.0617217890221,55006.78939679243,5689.186274545042,1137.8372549090084,1541.5556499450054,26748.486138789776,43873.26,15440.713,0.0,93.18570904030359,149531.01503339654,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.761122761687012,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163428,0.6514778,0.0,0.0,437.76112276168703,0.18636228239041422,0.8489700643222896,0.12141089229170735,0.15987095929709264,0.00534329336975804,0.35153155693272026,0.0003770483764143672,3.287562466685632e-06,0.0022916412848768023,500.06186051484764,55006.80465663324,5689.389645273812,1137.8779290547623,1541.6107557687278,26748.584444405413,43873.285,15440.816,0.0,93.18570904030359,149531.55470267625,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.021921460774863,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163946,0.65153867,0.0,0.0,437.0219214607749,0.18636228239041422,0.8489700643222896,0.12142223361855922,0.15988253048954407,0.0053437925015527915,0.35215904852162866,0.0003770790898363462,3.287562466685632e-06,0.0022918279562702086,500.0558325939411,55006.14158533352,5679.252054990617,1135.8504109981234,1538.8638498275725,26741.41581675244,43872.316,15433.256,0.0,125.00569886083625,149532.1016823881,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.782965009575832,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163413,0.6514767,0.0,0.0,437.78296500957583,0.18636228239041422,0.8489700643222896,0.12141068123861216,0.15987078687609307,0.005343284081311322,0.35151340696502437,0.00037704786238090213,3.287562466685632e-06,0.002291638160661492,500.0620488913511,55006.82537804862,5689.683409995797,1137.9366819991592,1541.6903549671151,26748.717859572283,43873.312,15440.957,0.0,93.18570904030359,149532.30892487327,0.18,10.0,0.2,3.0,0.02
1,180.0,0.3487925709054711,0.032,21.43001947992294,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43141794,0.6517757,0.0,0.0,438.430019479923,0.18636228239041422,0.8489700643222896,0.12146641036379913,0.1600851861864729,0.005345736720110799,0.3511557391116125,0.0003787941061300823,3.287562466685632e-06,0.0022938389335576724,500.57096753148323,55062.806428463155,5695.478607468561,1139.095721493712,1543.260635667302,26713.505335445458,43913.824,15403.82,0.0,61.38773047294225,149533.17899026113,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.03199923446241125,20.820168683616775,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43162814,0.6514748,0.0,0.0,437.82016868361677,0.18635782403627996,0.8489497543692904,0.12140742127551613,0.15987040621964807,0.005343140610335465,0.3514740996065485,0.00037704298225913336,3.287400638472222e-06,0.0022916085000417408,500.06898148457867,55007.58796330365,5690.319719828189,1138.0639439656377,1541.862771015721,26748.942559849173,43874.438,15441.194,0.0,91.41986791332296,149533.8286618132,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.845954410693558,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163368,0.65147334,0.0,0.0,437.8459544106936,0.18636228239041422,0.8489700643222896,0.12141005918738425,0.15987025070696737,0.005343256704836781,0.351461036807837,0.0003770463098274708,3.287562466685632e-06,0.0022916287244836354,500.06255442661,55006.8809869271,5690.531212691748,1138.1062425383498,1541.9200776326975,26749.11108592029,43873.4,15441.372,0.0,93.18570904030359,149534.505822563,0.18,10.0,0.2,3.0,0.02
1,180.0,0.35,0.032,20.85488453119111,75.0,0.9179341034814047,0.9481191832082901,0.979010657337939,1.0201957370648242,0.25185079726885423,0.43163362,0.65147287,0.0,0.0,437.85488453119115,0.18636228239041422,0.8489700643222896,0.12140997032292311,0.15987018929989227,0.005343252793911847,0.3514536114617649,0.00037704610839378984,3.287562466685632e-06,0.0022916275002011076,500.06265361542336,55006.89189769657,5690.6514395501745,1138.130287910035,1541.952654592554,26749.1672614418,43873.41,15441.431,0.0,93.18570904030359,149534.82007054394,0.18,10.0,0.2,3.0,0.02
