,sample_id,tADS,PL,v0,t_press,t_depress,h2o_ppmv,sox_ppmv,nox_ppmv,dust_mg_Nm3,co2_mol_frac,n2_mol_frac_effective,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,CO2_purity,CO2_recovery,n_CO2_feed,n_N2_feed,n_CO2_product,n_N2_product,n_CO2_dynamic_product,n_N2_dynamic_product,n_CO2_available,bed_y_CO2_before_blowdown,bed_y_N2_before_blowdown,n_CO2_void_tail,n_N2_void_tail,valid_physics,status_detail,n_cycles,status
2,3,133.72387236567914,0.280023158921036,0.0186067943402293,41.01780500976864,36.28367044111887,44.665920432431946,0.3373553404293029,3.534441306666168,0.009755477143469,0.2226424594249944,0.7773467334937489,0.8865922446328754,0.9272570307477284,0.9694026188216616,1.0197389177663276,0.3806279180479888,0.2989075559073006,0.7006027182132661,0.0995787962765324,0.3476582815308879,0.0697651753477437,0.1636353324981663,6.508947304630759,0.1628882713139552,6.556347754143289,0.481676083793264,0.518323916206736,0.0474004495125295,0.0510068642557701,True,ok,10,ok
3,4,128.56898651728795,0.1505876132244361,0.0235463838244492,32.62519566526443,39.466276939408445,62.67940723674608,0.2897508809232575,2.464399482408317,0.0677196967421528,0.1903726186595461,0.809614923767602,0.8771891211760715,0.9277621465071036,0.9600969042279638,1.044403210193838,0.416985644660494,0.3120404841084024,0.6851596044549015,0.1035978258369539,0.4405510533036295,0.0709810453728351,0.1564927889139249,15.461672469963789,0.1538287342988087,15.588897648763622,0.7202712551051254,0.2797287448948746,0.127225178799835,0.0494099123524089,True,ok,10,ok
4,5,154.18587006041383,0.1954022185528083,0.0238517283310325,37.98064757290649,34.51626958333735,13.0136580047028,0.1778244054582361,3.854207013940215,0.0618908666142661,0.1879861632152317,0.8120106323763928,0.9064264515215432,0.945474802101782,0.971969765909356,1.0412797015891195,0.2963750797339466,0.3366994866670711,0.6968420667760078,0.1242667717729311,0.536764079832136,0.0865943140738318,0.1705914480163146,10.107541980250968,0.1706616898970021,10.153133512941128,0.4708789615595269,0.5291210384404731,0.0455915326901602,0.0512306581742679,True,ok,10,ok
5,6,147.0776841816026,0.1433737067534272,0.0156816133757828,42.62707389035906,69.58962351885917,83.80046623195379,0.3730917010133008,2.8659329026188765,0.0161638421158571,0.2375856142464951,0.7623937046225359,0.8747863840290762,0.9206165615306608,0.9641951241740598,1.0226267975506649,0.4294471030013197,0.3294509941204998,0.7315930859422176,0.0985037508113633,0.3160633407502433,0.0720646630329685,0.1466770142394035,16.443119151761202,0.1438741595745781,16.590130854829674,0.7609079292304415,0.2390920707695585,0.1470117030684719,0.0461939364326894,True,ok,10,ok
6,7,110.4512746696192,0.2592750935912715,0.0263969942005241,36.67051006151384,44.2020075041186,16.18548688867199,0.6095240751362367,4.794143518893804,0.0009125334173735,0.2219605644779461,0.778034643477682,0.8881016055606064,0.9226489784121116,0.9692187831487564,1.0161614210596983,0.3555136026113031,0.3035421825792173,0.7069300389985564,0.1163235654661316,0.4077382398923802,0.0822326226714235,0.1886774102363183,3.224612674944069,0.191665141389819,3.2460096301547163,0.2965884498337485,0.7034115501662515,0.0213969552106473,0.050746633734375,True,ok,10,ok
7,8,124.21891408564608,0.1258666938556439,0.0174340562538125,31.024520978867592,52.05135737928987,70.51573604429518,0.8134816274142785,2.012275414939519,0.0568084832342322,0.1950784147123004,0.8049072768960969,0.8517578187963172,0.9037408355630504,0.9480116434512316,1.0388403856365942,0.4943698471745258,0.2220991191532972,0.6780102248821481,0.0759424390607475,0.3133208704697766,0.0514897501856762,0.1803425523555013,12.875314078886635,0.1852068124036349,12.910060496174314,0.4140580895364184,0.5859419104635816,0.0347464172876761,0.0491703522810054,True,ok,10,ok
8,9,168.77663545677683,0.3194016081135576,0.0142453065338045,38.03960832467239,45.27691094264566,65.32779206440756,0.3241557604756811,3.786662058650103,0.0642317887534098,0.1736365099005425,0.8263514321843001,0.8719800719830841,0.9238332196405282,0.9595392387583792,1.0455664686230215,0.4367152638685987,0.2340631144927457,0.6336937136736265,0.0750434218867327,0.357113450068464,0.0475545447021803,0.155615206350817,8.0926067172134,0.1492473313068556,8.251969609531393,0.7455335205950466,0.2544664794049533,0.1593628923179931,0.0543939514933995,True,ok,10,ok
9,10,164.16237562335218,0.2177428127473766,0.0200661013874726,52.98865125361996,42.4598720138013,59.41626689828496,0.4274241235952121,6.706937592997198,0.0983177855155202,0.2058322725095155,0.7941540283116708,0.8560212352702375,0.915715950507368,0.9523503082264853,1.066543447010501,0.491371779215305,0.3550547227619298,0.673578897943711,0.1218810823750958,0.470217375396211,0.0820965251464036,0.1491256495870691,11.819664740946788,0.1442411339396419,11.97267198663086,0.7542548558870671,0.2457451441129329,0.1530072456840707,0.0498515685347934,True,ok,10,ok
10,11,163.1466526695512,0.1676151378341818,0.0204279838115351,33.339389496592936,69.26624446801648,85.85816654010013,0.9390367333056584,1.4988388625126086,0.0834068366032913,0.2141993634670927,0.7857817219067984,0.8394048196108477,0.896965901851611,0.939830174590273,1.050203906831143,0.5361076591349073,0.3555616459615427,0.6810683703796984,0.1283268388470831,0.4707202638994482,0.087399351009561,0.1584071132203128,13.337191819980532,0.1523133909068481,13.483395809396256,0.7522000628086657,0.2477999371913343,0.1462039894157235,0.0481644992943244,True,ok,10,ok
11,12,74.85008524965163,0.1643803659826985,0.0183448663181575,24.8617552597994,74.18433596171396,18.479990802131656,0.6785496013535272,9.602189842376797,0.0519998071703443,0.164378800655905,0.8356164715537765,0.8627947399495487,0.9111087951310554,0.9591511844214596,1.0490383346990688,0.4489957047800749,0.1422232652063563,0.6486391346379243,0.0405716292571947,0.2062391652347082,0.0263163464922375,0.1587191078270982,15.423782109173938,0.154944927794059,15.622622868748444,0.796267778702885,0.203732221297115,0.1988407595745069,0.0508751838464578,True,ok,10,ok
